name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
ndt_t[4983],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4984],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4985],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4986],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4987],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4988],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4989],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4990],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4991],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4992],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4993],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4994],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4995],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4996],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4997],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4998],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[4999],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[5000],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[5001],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[5002],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[5003],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[5004],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[5005],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[5006],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[5007],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[5008],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[5009],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[5010],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[5011],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[5012],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
ndt_t[5013],0.31,0.0081,0.017,0.29,0.3,0.34,4.5,9.6e-06,1.9
